frame,person_id,auc,avg_l2,min_l2
002373.jpg,1,0.993,0.0598,0.0598
002374.jpg,1,0.9937,0.0452,0.0452
002375.jpg,1,0.9924,0.0476,0.0476
002376.jpg,1,0.9895,0.0627,0.0627
002377.jpg,1,0.9885,0.0492,0.0492
002378.jpg,1,0.9872,0.0492,0.0492
002379.jpg,1,0.9875,0.0614,0.0614
002380.jpg,1,0.9875,0.0468,0.0468
002381.jpg,1,0.9882,0.0505,0.0505
002382.jpg,1,0.9909,0.0521,0.0521
002383.jpg,1,0.9922,0.0492,0.0492
002384.jpg,1,0.9371,0.1476,0.1476
002432.jpg,1,0.9959,0.065,0.065
002433.jpg,1,0.9969,0.6061,0.6061
002434.jpg,1,0.9961,0.605,0.605
002435.jpg,1,0.9939,0.6085,0.6085
